id,ushio,kageyama,katou,saitou,sasaki_kumi,sasaki_mirei,takase,takamoto,higashimura,kanemura,kawata,kosaka,tomita,nibu,hamagishi,matuda,miyata,watanabe,kamimura,takahashi,morimoto,yamaguchi
220,,,,,,,,,,,,,,,,,,2,1,,,
221,,,,1,2,,,,2,,,,,,,,,,,,,
222,,,,,2,,,,,,,,,,,1,,,,,,
223,,,,,1,,,,,,,,,2,,,,,,,,
224,1,,,2,,,,,,,,,,,,,,,,,,
225,,1,,,,,,,,,,,,,2,,,,,,,
226,,,,,,,2,,,,,,,,,,1,,,,,
227,,,,1,,2,,,,,,,,,,,,,,,,
228,,,,,,,,,,,,,,,,,,,1,,,2
229,,,,,,1,,2,,,,,,,,,,,,,,
230,,,,2,,1,,2,,,,,,,,,,,,,,
231,,,,,1,,,,,,,,2,,,,,,,,,
232,,,,,,,,,,,,,,,,,,,2,1,,
233,,,,,,1,,,,2,,,,,,,,,,,,
234,,,,1,,2,,,,,2,,,2,,,,,,,,
235,,,,,,,,,2,,,,,,,,,1,,,,
236,1,,,,,,,,,,2,,,,,,,,,,,
237,,,,,,,,,,2,,,1,,,,,,,,,
238,,,,,2,,,,,,,,1,,,2,,,,,,
239,,,,2,,,,,,,,,2,,,,,1,,,,
240,,,,,,,,,,,,,,1,,,,2,,,,
241,1,,,,,2,,2,,,,,,,,,,,,,,
242,,,,,,1,,,,,,2,,,,,,,,,,
243,,,,,,,,,,,,,1,2,,,,,,,,
244,,,,,2,,,,,2,,,1,,,,,,,,,
245,2,,,,,,1,,,,,,,,,,,,,,,
246,,,2,,,,,,1,,,,,,,,,,,,,
247,,,,,,,,,,,1,,,,,,,2,,,,
248,,,,,,,,,,,,,,1,,,,,2,2,,
249,,,,1,,,,,2,,,,,,,,,,,,,
250,,,,2,,2,1,,,,,,,,,,,,,,,
251,,,,,,,,,,,,,2,,,,,1,,,,
252,2,1,,,,,,,,,,,,,,,,,,,,
253,,2,1,,,,,,,,,,,,,,,,,,,
254,,,,2,,,,,2,,,,,,,1,,,,,,
255,,,,,,2,,,,,,,,1,,,,,,,,
256,2,,,,,2,,2,,,2,,,,,,,1,2,,,
257,,,,1,,,,,,,2,,,2,,,,,,,,
258,,,,,1,,,2,,,,,,,,,,,,2,2,2
259,1,,,,,,,,,,,,,,,2,,2,,,,
260,,,,,,,,,,,,2,,,,,,,,1,,
261,,,2,,2,,,,1,,,,,,,,,,,,,
262,,,,,,,,,,1,,,2,2,,2,2,,,,,
263,,,,,,,,,,,,,,1,,2,,,2,,,
264,,,,,,,,,,2,,,,,,,2,1,,,,
265,,,,,,,,,,,,,2,,,,1,,,,,
